Timestamp,Time,LN2 - level (%)
1724302811.451472,00:00:11,57.265
1724302821.518541,00:00:21,57.256
1724302831.585358,00:00:31,57.254
1724302841.652287,00:00:41,57.239
1724302851.735672,00:00:51,57.253
1724302861.802462,00:01:01,57.252
1724302871.870102,00:01:11,57.267
1724302881.936601,00:01:21,57.255
1724302892.003394,00:01:32,57.255
1724302902.070296,00:01:42,57.261
1724302912.137229,00:01:52,57.258
1724302922.203887,00:02:02,57.254
1724302932.27113,00:02:12,57.249
1724302942.33813,00:02:22,57.249
1724302952.405102,00:02:32,57.244
1724302962.472161,00:02:42,57.248
1724302972.539289,00:02:52,57.251
1724302982.605407,00:03:02,57.256
1724302992.672295,00:03:12,57.250
1724303002.763469,00:03:22,57.252
1724303012.830362,00:03:32,57.250
1724303022.897221,00:03:42,57.247
1724303032.964408,00:03:52,57.248
1724303043.030788,00:04:03,57.241
1724303053.097601,00:04:13,57.241
1724303063.164462,00:04:23,57.239
1724303073.231106,00:04:33,57.234
1724303083.29806,00:04:43,57.241
1724303093.364982,00:04:53,57.238
1724303103.431682,00:05:03,57.237
1724303113.4985,00:05:13,57.230
1724303123.565328,00:05:23,57.228
1724303133.632115,00:05:33,57.238
1724303143.699243,00:05:43,57.233
1724303153.791451,00:05:53,57.233
1724303163.858411,00:06:03,57.230
1724303173.925295,00:06:13,57.240
1724303183.992146,00:06:23,57.234
1724303194.059003,00:06:34,57.237
1724303204.125937,00:06:44,57.233
1724303214.19281,00:06:54,57.214
1724303224.259369,00:07:04,57.224
1724303234.32643,00:07:14,57.230
1724303244.393645,00:07:24,57.228
1724303254.460295,00:07:34,57.225
1724303264.527293,00:07:44,57.241
1724303274.594315,00:07:54,57.228
1724303284.661117,00:08:04,57.223
1724303294.728213,00:08:14,57.223
1724303304.818155,00:08:24,57.220
1724303314.884929,00:08:34,57.219
1724303324.951887,00:08:44,57.213
1724303335.01877,00:08:55,57.226
1724303345.08521,00:09:05,57.216
1724303355.151726,00:09:15,57.213
1724303365.21844,00:09:25,57.220
1724303375.285244,00:09:35,57.225
1724303385.352105,00:09:45,57.216
1724303395.419086,00:09:55,57.219
1724303405.48568,00:10:05,57.204
1724303415.552444,00:10:15,57.210
1724303425.619404,00:10:25,57.221
1724303435.686345,00:10:35,57.210
1724303445.753338,00:10:45,57.212
1724303455.844792,00:10:55,57.218
1724303465.911209,00:11:05,57.203
1724303475.977967,00:11:15,57.215
1724303486.044834,00:11:26,57.209
1724303496.112005,00:11:36,57.214
1724303506.178975,00:11:46,57.212
1724303516.24611,00:11:56,57.215
1724303526.313183,00:12:06,57.211
1724303536.380341,00:12:16,57.212
1724303546.447161,00:12:26,57.202
1724303556.514237,00:12:36,57.204
1724303566.581268,00:12:46,57.207
1724303576.648086,00:12:56,57.207
1724303586.714892,00:13:06,57.207
1724303596.782468,00:13:16,57.215
1724303606.878642,00:13:26,57.213
1724303616.945305,00:13:36,57.213
1724303627.012127,00:13:47,57.210
1724303637.078994,00:13:57,57.201
1724303647.146296,00:14:07,57.199
1724303657.213615,00:14:17,57.214
1724303667.280516,00:14:27,57.209
1724303677.347281,00:14:37,57.212
1724303687.414103,00:14:47,57.206
1724303697.481289,00:14:57,57.213
1724303707.548299,00:15:07,57.194
1724303717.614993,00:15:17,57.199
1724303727.681962,00:15:27,57.201
1724303737.748955,00:15:37,57.209
1724303747.816274,00:15:47,57.200
1724303757.910916,00:15:57,57.198
1724303767.977693,00:16:07,57.199
1724303778.044839,00:16:18,57.198
1724303788.112011,00:16:28,57.204
1724303798.179448,00:16:38,57.191
1724303808.246494,00:16:48,57.195
1724303818.313285,00:16:58,57.198
1724303828.383439,00:17:08,57.200
1724303838.450524,00:17:18,57.191
1724303848.517572,00:17:28,57.190
1724303858.584454,00:17:38,57.197
1724303868.650792,00:17:48,57.193
1724303878.717484,00:17:58,57.187
1724303888.784545,00:18:08,57.196
1724303898.851334,00:18:18,57.184
1724303908.940376,00:18:28,57.192
1724303919.007146,00:18:39,57.182
1724303929.074418,00:18:49,57.198
1724303939.14116,00:18:59,57.190
1724303949.208079,00:19:09,57.196
1724303959.274917,00:19:19,57.185
1724303969.342026,00:19:29,57.178
1724303979.408959,00:19:39,57.200
1724303989.475819,00:19:49,57.196
1724303999.542745,00:19:59,57.189
1724304009.609915,00:20:09,57.189
1724304019.676674,00:20:19,57.184
1724304029.743447,00:20:29,57.191
1724304039.810467,00:20:39,57.175
1724304049.877578,00:20:49,57.181
1724304059.971368,00:20:59,57.167
1724304070.038369,00:21:10,57.183
1724304080.105495,00:21:20,57.176
1724304090.172652,00:21:30,57.179
1724304100.239592,00:21:40,57.172
1724304110.306609,00:21:50,57.177
1724304120.373199,00:22:00,57.178
1724304130.44036,00:22:10,57.183
1724304140.50724,00:22:20,57.191
1724304150.574419,00:22:30,57.181
1724304160.641524,00:22:40,57.192
1724304170.708503,00:22:50,57.185
1724304180.775623,00:23:00,57.177
1724304190.842885,00:23:10,57.191
1724304200.909604,00:23:20,57.181
1724304211.002749,00:23:31,57.187
1724304221.069424,00:23:41,57.183
1724304231.136301,00:23:51,57.180
1724304241.202992,00:24:01,57.195
1724304251.270036,00:24:11,57.181
1724304261.336762,00:24:21,57.165
1724304271.403814,00:24:31,57.171
1724304281.47054,00:24:41,57.175
1724304291.537575,00:24:51,57.169
1724304301.603483,00:25:01,57.180
1724304311.670896,00:25:11,57.184
1724304321.737683,00:25:21,57.171
1724304331.80449,00:25:31,57.169
1724304341.871227,00:25:41,57.172
1724304351.938483,00:25:51,57.171
1724304362.033623,00:26:02,57.177
1724304372.100384,00:26:12,57.171
1724304382.167386,00:26:22,57.177
1724304392.234303,00:26:32,57.174
1724304402.301158,00:26:42,57.170
1724304412.368132,00:26:52,57.162
1724304422.43423,00:27:02,57.171
1724304432.501235,00:27:12,57.173
1724304442.568327,00:27:22,57.166
1724304452.635136,00:27:32,57.167
1724304462.702009,00:27:42,57.168
1724304472.768833,00:27:52,57.171
1724304482.835166,00:28:02,57.169
1724304492.901965,00:28:12,57.172
1724304502.968664,00:28:22,57.172
1724304513.07164,00:28:33,57.167
1724304523.138436,00:28:43,57.164
1724304533.205382,00:28:53,57.174
1724304543.271273,00:29:03,57.168
1724304553.338119,00:29:13,57.160
1724304563.405256,00:29:23,57.165
1724304573.472103,00:29:33,57.160
1724304583.538954,00:29:43,57.168
1724304593.606221,00:29:53,57.166
1724304603.674052,00:30:03,57.160
1724304613.740981,00:30:13,57.160
1724304623.80839,00:30:23,57.159
1724304633.875313,00:30:33,57.161
1724304643.942132,00:30:43,57.162
1724304654.008841,00:30:54,57.158
1724304664.098273,00:31:04,57.162
1724304674.165416,00:31:14,57.160
1724304684.232167,00:31:24,57.152
1724304694.298951,00:31:34,57.167
1724304704.365922,00:31:44,57.163
1724304714.433064,00:31:54,57.153
1724304724.499998,00:32:04,57.168
1724304734.567077,00:32:14,57.154
1724304744.633509,00:32:24,57.157
1724304754.700309,00:32:34,57.163
1724304764.767131,00:32:44,57.151
1724304774.834132,00:32:54,57.157
1724304784.90119,00:33:04,57.153
1724304794.967698,00:33:14,57.152
1724304805.034669,00:33:25,57.152
1724304815.114347,00:33:35,57.148
1724304825.189369,00:33:45,57.153
1724304835.25611,00:33:55,57.152
1724304845.323115,00:34:05,57.155
1724304855.390067,00:34:15,57.158
1724304865.457219,00:34:25,57.149
1724304875.524223,00:34:35,57.165
1724304885.591077,00:34:45,57.145
1724304895.658587,00:34:55,57.146
