Timestamp,Time,LN2 - level (%)
1722056411.935952,00:00:11,64.996
1722056422.002349,00:00:22,65.005
1722056432.073057,00:00:32,65.008
1722056442.143188,00:00:42,65.012
1722056452.232028,00:00:52,65.008
1722056462.298459,00:01:02,65.000
1722056472.370063,00:01:12,64.994
1722056482.436786,00:01:22,64.992
1722056492.50364,00:01:32,64.989
1722056502.577024,00:01:42,64.998
1722056512.643821,00:01:52,65.001
1722056522.710663,00:02:02,65.000
1722056532.779957,00:02:12,64.998
1722056542.846632,00:02:22,65.001
1722056552.913693,00:02:32,64.991
1722056562.985605,00:02:42,64.997
1722056573.052494,00:02:53,64.995
1722056583.119281,00:03:03,64.981
1722056593.188277,00:03:13,64.991
1722056603.27598,00:03:23,64.992
1722056613.341964,00:03:33,64.993
1722056623.415685,00:03:43,64.994
1722056633.482723,00:03:53,64.994
1722056643.549204,00:04:03,65.003
1722056653.619531,00:04:13,65.002
1722056663.68638,00:04:23,65.009
1722056673.752963,00:04:33,64.997
1722056683.825711,00:04:43,64.998
1722056693.892532,00:04:53,64.998
1722056703.959016,00:05:03,65.002
1722056714.032396,00:05:14,65.001
1722056724.099528,00:05:24,64.988
1722056734.165785,00:05:34,65.001
1722056744.261584,00:05:44,64.994
1722056754.328161,00:05:54,65.002
1722056764.394273,00:06:04,64.988
1722056774.471094,00:06:14,64.994
1722056784.53726,00:06:24,64.988
1722056794.604,00:06:34,64.987
1722056804.673738,00:06:44,64.986
1722056814.740126,00:06:54,64.995
1722056824.807175,00:07:04,64.990
1722056834.879966,00:07:14,64.986
1722056844.946398,00:07:24,64.986
1722056855.01308,00:07:35,64.979
1722056865.082393,00:07:45,64.982
1722056875.148466,00:07:55,64.971
1722056885.215108,00:08:05,64.981
1722056895.32077,00:08:15,64.979
1722056905.386983,00:08:25,64.991
1722056915.453561,00:08:35,64.994
1722056925.526194,00:08:45,64.990
1722056935.592915,00:08:55,64.981
1722056945.659576,00:09:05,64.986
