Timestamp,Time,LN2 - level (%)
1767160812.063549,00:00:12,5.014
1767160822.148384,00:00:22,4.967
1767160832.21921,00:00:32,4.985
1767160842.285329,00:00:42,5.041
1767160852.351862,00:00:52,5.018
1767160862.425544,00:01:02,5.047
1767160872.491599,00:01:12,5.044
1767160882.55843,00:01:22,5.014
1767160892.629072,00:01:32,5.041
1767160902.695244,00:01:42,4.963
1767160912.761802,00:01:52,4.976
1767160922.831242,00:02:02,5.026
1767160932.897701,00:02:12,5.029
1767160942.963699,00:02:22,5.020
1767160953.034783,00:02:33,4.999
1767160963.114908,00:02:43,4.951
1767160973.190449,00:02:53,4.974
1767160983.262666,00:03:03,4.961
1767160993.328819,00:03:13,4.962
1767161003.395009,00:03:23,4.972
1767161013.468436,00:03:33,5.033
1767161023.534482,00:03:43,5.018
1767161033.601002,00:03:53,5.001
1767161043.673781,00:04:03,4.970
1767161053.73983,00:04:13,5.007
1767161063.806442,00:04:23,5.010
1767161073.877632,00:04:33,4.992
1767161083.943827,00:04:43,5.014
1767161094.010694,00:04:54,5.015
1767161104.079763,00:05:04,4.946
1767161114.177412,00:05:14,4.965
1767161124.24418,00:05:24,4.989
1767161134.314917,00:05:34,5.016
1767161144.381026,00:05:44,5.019
1767161154.447824,00:05:54,5.017
1767161164.521503,00:06:04,4.982
1767161174.588002,00:06:14,4.992
1767161184.654379,00:06:24,5.002
1767161194.726109,00:06:34,4.984
1767161204.792285,00:06:44,4.988
1767161214.859218,00:06:54,5.008
1767161224.931554,00:07:04,4.936
1767161234.997566,00:07:14,4.981
1767161245.070155,00:07:25,4.962
1767161255.170709,00:07:35,4.935
1767161265.236669,00:07:45,4.971
1767161275.303528,00:07:55,4.996
1767161285.373014,00:08:05,4.966
1767161295.439362,00:08:15,5.005
1767161305.505869,00:08:25,4.958
1767161315.577357,00:08:35,5.011
1767161325.64408,00:08:45,4.929
1767161335.710239,00:08:55,4.947
1767161345.783853,00:09:05,4.953
1767161355.850782,00:09:15,4.973
1767161365.91713,00:09:25,4.941
1767161375.98658,00:09:35,4.967
1767161386.069918,00:09:46,4.957
1767161396.136155,00:09:56,4.961
1767161406.226094,00:10:06,4.924
1767161416.29228,00:10:16,5.013
1767161426.358445,00:10:26,4.953
1767161436.433692,00:10:36,4.999
1767161446.500548,00:10:46,4.968
1767161456.56662,00:10:56,4.971
1767161466.635834,00:11:06,4.949
1767161476.702361,00:11:16,4.981
1767161486.768759,00:11:26,4.979
1767161496.837781,00:11:36,4.967
1767161506.903895,00:11:46,4.913
1767161516.97019,00:11:56,4.950
1767161527.043705,00:12:07,5.001
1767161537.110209,00:12:17,5.007
1767161547.192965,00:12:27,4.902
1767161557.273194,00:12:37,4.918
1767161567.339834,00:12:47,4.995
1767161577.405889,00:12:57,4.971
1767161587.478281,00:13:07,4.972
1767161597.544684,00:13:17,4.919
1767161607.610842,00:13:27,4.945
1767161617.681607,00:13:37,4.986
1767161627.748097,00:13:47,4.980
1767161637.814201,00:13:57,4.948
1767161647.885252,00:14:07,4.994
1767161657.951614,00:14:17,4.937
1767161668.01802,00:14:28,4.972
1767161678.088549,00:14:38,4.963
1767161688.15524,00:14:48,4.917
1767161698.247982,00:14:58,4.931
1767161708.321561,00:15:08,4.927
1767161718.387736,00:15:18,4.974
1767161728.453954,00:15:28,4.928
1767161738.524937,00:15:38,4.943
1767161748.591526,00:15:48,4.980
1767161758.657959,00:15:58,4.930
1767161768.726694,00:16:08,4.969
1767161778.793074,00:16:18,4.955
1767161788.859432,00:16:28,4.969
1767161798.932016,00:16:38,4.905
1767161808.998482,00:16:48,4.968
1767161819.077565,00:16:59,4.913
1767161829.152543,00:17:09,4.910
1767161839.234295,00:17:19,4.915
1767161849.305831,00:17:29,4.891
1767161859.379307,00:17:39,4.905
1767161869.445894,00:17:49,4.909
1767161879.512217,00:17:59,4.913
1767161889.585614,00:18:09,4.969
1767161899.652062,00:18:19,4.924
1767161909.718181,00:18:29,4.897
1767161919.789561,00:18:39,4.944
1767161929.855868,00:18:49,4.933
1767161939.922361,00:18:59,4.969
1767161949.993385,00:19:09,4.961
1767161960.073697,00:19:20,4.946
1767161970.140178,00:19:30,4.926
1767161980.213062,00:19:40,4.898
1767161990.298748,00:19:50,4.903
1767162000.36521,00:20:00,4.962
1767162010.434369,00:20:10,4.952
1767162020.500735,00:20:20,4.950
1767162030.566954,00:20:30,4.907
1767162040.640137,00:20:40,4.958
1767162050.706498,00:20:50,4.906
1767162060.77268,00:21:00,4.959
1767162070.843312,00:21:10,4.950
1767162080.909949,00:21:20,4.896
1767162090.976468,00:21:30,4.971
1767162101.0494,00:21:41,4.912
1767162111.115957,00:21:51,4.933
1767162121.182047,00:22:01,4.935
1767162131.25606,00:22:11,4.926
1767162141.338991,00:22:21,4.879
1767162151.4057,00:22:31,4.947
1767162161.475039,00:22:41,4.957
1767162171.541239,00:22:51,4.914
1767162181.607887,00:23:01,4.949
1767162191.67834,00:23:11,4.901
1767162201.74446,00:23:21,4.893
1767162211.810481,00:23:31,4.864
1767162221.880458,00:23:41,4.905
1767162231.946939,00:23:51,4.917
1767162242.01304,00:24:02,4.919
1767162252.087187,00:24:12,4.893
1767162262.153667,00:24:22,4.938
1767162272.219828,00:24:32,4.918
1767162282.319656,00:24:42,4.867
1767162292.385999,00:24:52,4.967
1767162302.451989,00:25:02,4.908
1767162312.521101,00:25:12,4.879
1767162322.587301,00:25:22,4.874
1767162332.653496,00:25:32,4.909
1767162342.727944,00:25:42,4.880
1767162352.794101,00:25:52,4.929
1767162362.860563,00:26:02,4.882
1767162372.930705,00:26:12,4.907
1767162382.996943,00:26:22,4.919
1767162393.076214,00:26:33,4.883
1767162403.148187,00:26:43,4.858
1767162413.21516,00:26:53,4.916
1767162423.281303,00:27:03,4.857
1767162433.376597,00:27:13,4.855
1767162443.442915,00:27:23,4.906
1767162453.50972,00:27:33,4.894
1767162463.58238,00:27:43,4.860
1767162473.648951,00:27:53,4.886
1767162483.715255,00:28:03,4.894
1767162493.786099,00:28:13,4.917
1767162503.85229,00:28:23,4.860
1767162513.918702,00:28:33,4.887
1767162523.988059,00:28:43,4.906
1767162534.054225,00:28:54,4.855
1767162544.120508,00:29:04,4.897
1767162554.18686,00:29:14,4.871
1767162564.253244,00:29:24,4.900
1767162574.319447,00:29:34,4.851
1767162584.406282,00:29:44,4.848
1767162594.47266,00:29:54,4.904
1767162604.539225,00:30:04,4.847
1767162614.608876,00:30:14,4.831
1767162624.675329,00:30:24,4.910
1767162634.741504,00:30:34,4.878
1767162644.815226,00:30:44,4.919
1767162654.881855,00:30:54,4.894
1767162664.947964,00:31:04,4.881
1767162675.016818,00:31:15,4.856
1767162685.091455,00:31:25,4.827
1767162695.158058,00:31:35,4.866
1767162705.228322,00:31:45,4.893
1767162715.294439,00:31:55,4.895
1767162725.3965,00:32:05,4.831
1767162735.465446,00:32:15,4.808
1767162745.5317,00:32:25,4.901
1767162755.598029,00:32:35,4.835
1767162765.667705,00:32:45,4.807
1767162775.734472,00:32:55,4.888
1767162785.800833,00:33:05,4.875
1767162795.872588,00:33:15,4.886
1767162805.938836,00:33:25,4.898
1767162816.00497,00:33:36,4.850
1767162826.086257,00:33:46,4.820
1767162836.152354,00:33:56,4.889
1767162846.219026,00:34:06,4.866
1767162856.288849,00:34:16,4.883
1767162866.355272,00:34:26,4.898
1767162876.44069,00:34:36,4.813
1767162886.509367,00:34:46,4.830
1767162896.575634,00:34:56,4.892
1767162906.641992,00:35:06,4.832
1767162916.713888,00:35:16,4.890
1767162926.780405,00:35:26,4.821
1767162936.847118,00:35:36,4.878
1767162946.923124,00:35:46,4.798
1767162956.99004,00:35:56,4.873
1767162967.056389,00:36:07,4.842
1767162977.127328,00:36:17,4.823
1767162987.194076,00:36:27,4.864
1767162997.260733,00:36:37,4.808
1767163007.332229,00:36:47,4.870
1767163017.407557,00:36:57,4.846
1767163027.494104,00:37:07,4.811
1767163037.563253,00:37:17,4.866
1767163047.629727,00:37:27,4.832
1767163057.695917,00:37:37,4.870
1767163067.769972,00:37:47,4.866
1767163077.836433,00:37:57,4.877
1767163087.902491,00:38:07,4.851
1767163097.974479,00:38:17,4.855
1767163108.041467,00:38:28,4.851
1767163118.107997,00:38:38,4.822
1767163128.180898,00:38:48,4.832
1767163138.247207,00:38:58,4.854
1767163148.313464,00:39:08,4.801
1767163158.386907,00:39:18,4.791
1767163168.47931,00:39:28,4.795
1767163178.54621,00:39:38,4.751
1767163188.61543,00:39:48,4.787
1767163198.681567,00:39:58,4.781
1767163208.747981,00:40:08,4.816
1767163218.821913,00:40:18,4.805
1767163228.88816,00:40:28,4.847
1767163238.954354,00:40:38,4.858
1767163249.025653,00:40:49,4.808
1767163259.099692,00:40:59,4.787
1767163269.165691,00:41:09,4.795
1767163279.237863,00:41:19,4.836
1767163289.303731,00:41:29,4.816
1767163299.369883,00:41:39,4.780
1767163309.453474,00:41:49,4.793
1767163319.535732,00:41:59,4.779
1767163329.601865,00:42:09,4.855
1767163339.671268,00:42:19,4.831
1767163349.737561,00:42:29,4.839
1767163359.803606,00:42:39,4.793
1767163369.877539,00:42:49,4.779
1767163379.943664,00:42:59,4.828
1767163390.009992,00:43:10,4.824
1767163400.095189,00:43:20,4.756
1767163410.161484,00:43:30,4.795
1767163420.228013,00:43:40,4.801
1767163430.298153,00:43:50,4.821
1767163440.364324,00:44:00,4.773
1767163450.431038,00:44:10,4.823
1767163460.520835,00:44:20,4.771
1767163470.586984,00:44:30,4.831
1767163480.653821,00:44:40,4.830
1767163490.72354,00:44:50,4.805
1767163500.789702,00:45:00,4.816
1767163510.855951,00:45:10,4.760
1767163520.926697,00:45:20,4.783
1767163530.99286,00:45:30,4.818
1767163541.059746,00:45:41,4.830
1767163551.128399,00:45:51,4.774
1767163561.194737,00:46:01,4.845
1767163571.261077,00:46:11,4.752
1767163581.332434,00:46:21,4.803
1767163591.398587,00:46:31,4.800
1767163601.465477,00:46:41,4.816
1767163611.554125,00:46:51,4.751
1767163621.62066,00:47:01,4.787
1767163631.68746,00:47:11,4.751
1767163641.757327,00:47:21,4.741
1767163651.823772,00:47:31,4.824
1767163661.89044,00:47:41,4.751
1767163671.959152,00:47:51,4.810
1767163682.024909,00:48:02,4.808
1767163692.106725,00:48:12,4.783
1767163702.176135,00:48:22,4.764
1767163712.243255,00:48:32,4.775
1767163722.309531,00:48:42,4.830
1767163732.37899,00:48:52,4.800
1767163742.44529,00:49:02,4.781
1767163752.537402,00:49:12,4.744
1767163762.611439,00:49:22,4.745
1767163772.677888,00:49:32,4.743
1767163782.744096,00:49:42,4.792
1767163792.812559,00:49:52,4.809
1767163802.879075,00:50:02,4.803
1767163812.945252,00:50:12,4.799
1767163823.0197,00:50:23,4.822
1767163833.099959,00:50:33,4.779
1767163843.166329,00:50:43,4.761
1767163853.236474,00:50:53,4.781
1767163863.302697,00:51:03,4.796
1767163873.3694,00:51:13,4.758
1767163883.440722,00:51:23,4.762
1767163893.506841,00:51:33,4.773
1767163903.590953,00:51:43,4.730
1767163913.659711,00:51:53,4.787
1767163923.725664,00:52:03,4.782
1767163933.791813,00:52:13,4.731
1767163943.862607,00:52:23,4.783
1767163953.929217,00:52:33,4.764
1767163963.995713,00:52:43,4.782
1767163974.067415,00:52:54,4.756
1767163984.133594,00:53:04,4.710
1767163994.199934,00:53:14,4.725
1767164004.270256,00:53:24,4.712
1767164014.33656,00:53:34,4.800
1767164024.402681,00:53:44,4.768
1767164034.474522,00:53:54,4.772
1767164044.563337,00:54:04,4.724
1767164054.629561,00:54:14,4.721
1767164064.70384,00:54:24,4.787
1767164074.770362,00:54:34,4.772
1767164084.836407,00:54:44,4.716
1767164094.910047,00:54:54,4.716
1767164104.976548,00:55:04,4.714
1767164115.043421,00:55:15,4.718
1767164125.117054,00:55:25,4.726
1767164135.183529,00:55:35,4.711
1767164145.24971,00:55:45,4.711
1767164155.318687,00:55:55,4.758
1767164165.385105,00:56:05,4.759
1767164175.451243,00:56:15,4.781
