Timestamp,Time,LN2 - level (%)
1712466003.241883,00:00:03,15.606
1712466013.3079,00:00:13,15.608
1712466023.374458,00:00:23,15.597
1712466033.451622,00:00:33,15.617
1712466043.517559,00:00:43,15.620
1712466053.583781,00:00:53,15.627
1712466063.653345,00:01:03,15.634
1712466073.719746,00:01:13,15.626
1712466083.785657,00:01:23,15.646
1712466093.856121,00:01:33,15.634
1712466103.922103,00:01:43,15.648
1712466113.988145,00:01:53,15.643
1712466124.063314,00:02:04,15.648
1712466134.129639,00:02:14,15.653
1712466144.219471,00:02:24,15.667
1712466154.290635,00:02:34,15.666
1712466164.356573,00:02:44,15.670
1712466174.422715,00:02:54,15.669
1712466184.492868,00:03:04,15.681
1712466194.559174,00:03:14,15.690
1712466204.625362,00:03:24,15.691
1712466214.695307,00:03:34,15.694
1712466224.761387,00:03:44,15.705
1712466234.827458,00:03:54,15.698
1712466244.896477,00:04:04,15.703
1712466254.962494,00:04:14,15.714
1712466265.028712,00:04:25,15.706
1712466275.099565,00:04:35,15.712
1712466285.165653,00:04:45,15.722
1712466295.257421,00:04:55,15.724
1712466305.336968,00:05:05,15.726
1712466315.403096,00:05:15,15.728
1712466325.469413,00:05:25,15.750
1712466335.544155,00:05:35,15.749
1712466345.610431,00:05:45,15.753
1712466355.676346,00:05:55,15.753
1712466365.746207,00:06:05,15.754
1712466375.812209,00:06:15,15.763
1712466385.877941,00:06:25,15.772
1712466395.948798,00:06:35,15.789
1712466406.014712,00:06:46,15.780
1712466416.081096,00:06:56,15.782
1712466426.152991,00:07:06,15.790
1712466436.234946,00:07:16,15.798
1712466446.308928,00:07:26,15.807
1712466456.380202,00:07:36,15.802
1712466466.446541,00:07:46,15.811
1712466476.512899,00:07:56,15.812
1712466486.586267,00:08:06,15.812
1712466496.652743,00:08:16,15.826
1712466506.718818,00:08:26,15.828
1712466516.787973,00:08:36,15.815
1712466526.854062,00:08:46,15.827
1712466536.92023,00:08:56,15.846
1712466546.997699,00:09:06,15.846
1712466557.064049,00:09:17,15.852
1712466567.133293,00:09:27,15.845
1712466577.202037,00:09:37,15.849
1712466587.29639,00:09:47,15.852
1712466597.36246,00:09:57,15.862
1712466607.435697,00:10:07,15.866
1712466617.502057,00:10:17,15.879
1712466627.56849,00:10:27,15.883
1712466637.638831,00:10:37,15.888
1712466647.70512,00:10:47,15.902
1712466657.771593,00:10:57,15.893
1712466667.841245,00:11:07,15.894
1712466677.907319,00:11:17,15.898
1712466687.973481,00:11:27,15.899
1712466698.046435,00:11:38,15.909
1712466708.112528,00:11:48,15.921
1712466718.178585,00:11:58,15.917
1712466728.253941,00:12:08,15.931
1712466738.338148,00:12:18,15.926
1712466748.404324,00:12:28,15.933
1712466758.473865,00:12:38,15.938
1712466768.539778,00:12:48,15.943
1712466778.607009,00:12:58,15.949
1712466788.676571,00:13:08,15.955
1712466798.742841,00:13:18,15.963
1712466808.808844,00:13:28,15.968
1712466818.878976,00:13:38,15.966
1712466828.945086,00:13:48,15.973
1712466839.011423,00:13:59,15.973
1712466849.087576,00:14:09,15.977
1712466859.15348,00:14:19,15.981
1712466869.219925,00:14:29,15.993
1712466879.317689,00:14:39,16.003
1712466889.383609,00:14:49,15.993
1712466899.449762,00:14:59,16.012
1712466909.51927,00:15:09,16.006
1712466919.587068,00:15:19,16.013
1712466929.653202,00:15:29,16.015
1712466939.721541,00:15:39,16.020
1712466949.787703,00:15:49,16.019
1712466959.853781,00:15:59,16.025
1712466969.922567,00:16:09,16.029
1712466979.988572,00:16:19,16.038
1712466990.054838,00:16:30,16.047
1712467000.123479,00:16:40,16.037
1712467010.189513,00:16:50,16.048
1712467020.256069,00:17:00,16.058
1712467030.351971,00:17:10,16.072
1712467040.418026,00:17:20,16.072
1712467050.483951,00:17:30,16.074
1712467060.555816,00:17:40,16.075
1712467070.621936,00:17:50,16.080
1712467080.688259,00:18:00,16.088
1712467090.758887,00:18:10,16.094
1712467100.825134,00:18:20,16.103
1712467110.891279,00:18:30,16.101
1712467120.960832,00:18:40,16.101
1712467131.026848,00:18:51,16.109
1712467141.09307,00:19:01,16.113
1712467151.163853,00:19:11,16.116
1712467161.22999,00:19:21,16.125
1712467171.295951,00:19:31,16.116
1712467181.396996,00:19:41,16.134
1712467191.463386,00:19:51,16.134
1712467201.529344,00:20:01,16.139
1712467211.60404,00:20:11,16.134
1712467221.670147,00:20:21,16.152
1712467231.736808,00:20:31,16.163
1712467241.806881,00:20:41,16.158
1712467251.873285,00:20:51,16.163
1712467261.939102,00:21:01,16.169
1712467272.008886,00:21:12,16.173
1712467282.075241,00:21:22,16.169
1712467292.141386,00:21:32,16.186
1712467302.211509,00:21:42,16.192
1712467312.277609,00:21:52,16.197
1712467322.351683,00:22:02,16.194
1712467332.44316,00:22:12,16.195
1712467342.50915,00:22:22,16.204
1712467352.576104,00:22:32,16.211
1712467362.648096,00:22:42,16.218
1712467372.71415,00:22:52,16.223
1712467382.780388,00:23:02,16.225
1712467392.853445,00:23:12,16.246
1712467402.919654,00:23:22,16.244
