Timestamp,Time,LN2 - level (%)
1699250401.955721,00:00:01,56.102
1699250412.038445,00:00:12,56.107
1699250422.122615,00:00:22,56.087
1699250432.194047,00:00:32,56.102
1699250442.260648,00:00:42,56.105
1699250452.327237,00:00:52,56.097
1699250462.395771,00:01:02,56.095
1699250472.462676,00:01:12,56.100
1699250482.529809,00:01:22,56.096
1699250492.603266,00:01:32,56.090
1699250502.669969,00:01:42,56.116
1699250512.736591,00:01:52,56.108
1699250522.809888,00:02:02,56.093
1699250532.876502,00:02:12,56.090
1699250542.943463,00:02:22,56.083
1699250553.012768,00:02:33,56.094
1699250563.12706,00:02:43,56.100
1699250573.193457,00:02:53,56.094
1699250583.263434,00:03:03,56.082
1699250593.330045,00:03:13,56.091
1699250603.397069,00:03:23,56.087
1699250613.470371,00:03:33,56.092
1699250623.537423,00:03:43,56.091
1699250633.603967,00:03:53,56.081
1699250643.678256,00:04:03,56.084
1699250653.745057,00:04:13,56.094
1699250663.811982,00:04:23,56.092
1699250673.882575,00:04:33,56.092
1699250683.949451,00:04:43,56.086
1699250694.016474,00:04:54,56.066
1699250704.087395,00:05:04,56.081
1699250714.183252,00:05:14,56.068
1699250724.249804,00:05:24,56.070
1699250734.329182,00:05:34,56.070
1699250744.395964,00:05:44,56.073
1699250754.46292,00:05:54,56.075
1699250764.533173,00:06:04,56.085
1699250774.599065,00:06:14,56.067
1699250784.666499,00:06:24,56.075
1699250794.738183,00:06:34,56.081
1699250804.804993,00:06:44,56.070
1699250814.871775,00:06:54,56.058
1699250824.944486,00:07:04,56.063
1699250835.011454,00:07:15,56.071
1699250845.078362,00:07:25,56.069
1699250855.180171,00:07:35,56.072
1699250865.247008,00:07:45,56.084
1699250875.313882,00:07:55,56.066
1699250885.383316,00:08:05,56.076
1699250895.449184,00:08:15,56.069
1699250905.515994,00:08:25,56.070
1699250915.586554,00:08:35,56.073
1699250925.653764,00:08:45,56.074
1699250935.720919,00:08:55,56.072
1699250945.794899,00:09:05,56.075
1699250955.861663,00:09:15,56.076
1699250965.928536,00:09:25,56.081
1699250976.004128,00:09:36,56.075
1699250986.070556,00:09:46,56.081
1699250996.150032,00:09:56,56.067
1699251006.233044,00:10:06,56.062
1699251016.299955,00:10:16,56.055
1699251026.366759,00:10:26,56.063
1699251036.438312,00:10:36,56.076
1699251046.514856,00:10:46,56.067
1699251056.581348,00:10:56,56.063
1699251066.654556,00:11:06,56.064
1699251076.721385,00:11:16,56.062
1699251086.787993,00:11:26,56.061
1699251096.860464,00:11:36,56.064
1699251106.927076,00:11:46,56.057
1699251116.994011,00:11:56,56.059
1699251127.06927,00:12:07,56.054
1699251137.135998,00:12:17,56.056
1699251147.216957,00:12:27,56.060
1699251157.290513,00:12:37,56.044
1699251167.356626,00:12:47,56.050
1699251177.423485,00:12:57,56.052
1699251187.504322,00:13:07,56.053
1699251197.571012,00:13:17,56.051
1699251207.638332,00:13:27,56.049
1699251217.708853,00:13:37,56.051
1699251227.775547,00:13:47,56.045
1699251237.842473,00:13:57,56.046
1699251247.917088,00:14:07,56.044
1699251257.983744,00:14:17,56.053
1699251268.050762,00:14:28,56.045
